Model_Year,Model,Manufacturer,ManufacturerID,VehicleID,Category,Fuel,FuelID,Transmission_Type,Engine_Description
2010,Altima,Nissan,217,941,Sedan/Wagon,Hybrid Electric,45,Automatic,
2010,Camry,Toyota,221,943,Sedan/Wagon,Hybrid Electric,45,Automatic,
2010,Civic Hybrid,Honda,209,935,Sedan/Wagon,Hybrid Electric,45,Automatic,
2010,Escalade Hybrid,Cadillac,231,946,SUV,Hybrid Electric,45,Automatic,
2010,Escape Hybrid,Ford,219,945,SUV,Hybrid Electric,45,Automatic,
2010,Fusion Hybrid FWD,Ford,219,914,Sedan/Wagon,Hybrid Electric,45,Automatic,
2010,HS 250h,Lexus,243,931,Sedan/Wagon,Hybrid Electric,45,V6 Hybrid 3.5L,
2010,Highlander,Toyota,221,948,SUV,Hybrid Electric,45,Automatic,
2010,Insight,Honda,209,986,Sedan/Wagon,Hybrid Electric,45,Automatic,
2010,Malibu LS,Chevrolet,215,936,Sedan/Wagon,Hybrid Electric,45,Automatic,
2010,Mariner Hybrid,Mercury,233,949,SUV,Hybrid Electric,45,Automatic,
2010,Milan Hybrid,Mercury,233,956,Sedan/Wagon,Hybrid Electric,45,Automatic,
2010,Prius 10,Toyota,221,915,Sedan/Wagon,Hybrid Electric,45,Continuously Variable,
2010,RX 450h,Lexus,243,930,SUV,Hybrid Electric,45,Automatic CVT,
2010,Roadster,Tesla,237,955,Sedan/Wagon,Electric,41,,
2010,S400 Hybrid,Mercedes-Benz,239,944,Sedan/Wagon,Hybrid Electric,45,Automatic,
2010,Silverado 1500,Chevrolet,215,939,Pickup,Hybrid Electric,45,Automatic,
2010,Tahoe Hybrid,Chevrolet,215,937,SUV,Hybrid Electric,45,Automatic,
2010,Tribute Hybrid,Mazda,229,947,SUV,Hybrid Electric,45,Automatic,
2010,X6 Active Hybrid,BMW,211,984,Sedan/Wagon,Hybrid Electric,45,,
2010,Yukon 1500,GMC,213,938,SUV,Hybrid Electric,45,Automatic,
2011,Active Hybrid 7,BMW,211,10099,Sedan/Wagon,Hybrid Electric,45,Semi-Automatic,
2011,Active Hybrid 7L,BMW,211,10100,Sedan/Wagon,Hybrid Electric,45,Semi-Automatic,
2011,Active Hybrid X6,BMW,211,10101,SUV,Hybrid Electric,45,Semi-Automatic,
2011,Altima Hybrid,Nissan,217,10059,Sedan/Wagon,Hybrid Electric,45,Automatic / 5 speed,
2011,CR-Z,Honda,209,10094,Sedan/Wagon,Hybrid Electric,45,Automatic / Variable,
2011,CT 200h,Lexus,243,10051,Sedan/Wagon,Hybrid Electric,45,,
2011,Camry Hybrid,Toyota,221,10064,Sedan/Wagon,Hybrid Electric,45,Automatic / Variable,
2011,Civic Hybrid,Honda,209,10092,Sedan/Wagon,Hybrid Electric,45,Automatic / Variable,
2011,Civic Hybrid,Honda,209,10020,Sedan/Wagon,Hybrid Electric,45,Automatic / Variable,
2011,Escalade Hybrid,Cadillac,231,10075,SUV,Hybrid Electric,45,Automatic / Variable,
2011,Escape Hybrid,Ford,219,10081,SUV,Hybrid Electric,45,Automatic / Variable,
2011,Ford  Azure Transit Connect,Ford,219,10200,Van,Electric,41,,
2011,Fusion Hybrid,Ford,219,10082,Sedan/Wagon,Hybrid Electric,45,Automatic / Variable,
2011,Fusion Hybrid,Ford,219,10083,Sedan/Wagon,Hybrid Electric,45,Automatic / Variable,
2011,GS 450h,Lexus,243,10053,Sedan/Wagon,Hybrid Electric,45,,
2011,HS 250h,Lexus,243,10052,Sedan/Wagon,Hybrid Electric,45,Automatic / Variable,
2011,Highlander Hybrid,Toyota,221,10065,SUV,Hybrid Electric,45,Automatic / Variable,
2011,Insight LX Hybrid,Honda,209,10091,Sedan/Wagon,Hybrid Electric,45,Automatic / Variable,
2011,LEAF,Nissan,217,10058,Sedan/Wagon,Electric,41,None,
2011,LS 600h,Lexus,243,10054,Sedan/Wagon,Hybrid Electric,45,Automatic / Variable,
2011,Leaf,Nissan,217,10128,Sedan/Wagon,Electric,41,None,
2011,MKZ Hybrid,Lincoln,227,10084,Sedan/Wagon,Hybrid Electric,45,Automatic / Variable,
2011,ML450 4Matic Hybrid,Mercedes-Benz,239,10049,SUV,Hybrid Electric,45,Automatic / 7 speed,
2011,Mariner Hybrid,Mercury,233,10086,SUV,Hybrid Electric,45,Automatic / Variable,
2011,Milan Hybrid,Mercury,233,10085,Sedan/Wagon,Hybrid Electric,45,Automatic / Variable,
2011,Prius,Toyota,221,10063,Sedan/Wagon,Hybrid Electric,45,Automatic / Variable,
2011,RX 450h,Lexus,243,10055,SUV,Hybrid Electric,45,Automatic / Variable,
2011,Roadster 2.5,Tesla,237,10060,Sedan/Wagon,Electric,41,,
2011,S400 Hybrid,Mercedes-Benz,239,10048,Sedan/Wagon,Hybrid Electric,45,Automatic / 7 speed,
2011,Sierra 1500 Hybrid,GMC,213,10079,Pickup,Hybrid Electric,45,Automatic / Variable,
2011,Silverado 1500 Hybrid,Chevrolet,215,10078,Pickup,Hybrid Electric,45,Automatic / Variable,
2011,Sonata Hybrid,Hyundai,351,10127,Sedan/Wagon,Hybrid Electric,45,Automatic,
2011,Tahoe 1500 Hybrid,Chevrolet,215,10076,SUV,Hybrid Electric,45,Automatic / Variable,
2011,Touareg Hybrid,Volkswagen,347,10066,SUV,Hybrid Electric,45,Automatic / 8 speed,
2011,Tribute 2WD Hybrid,Mazda,229,10019,SUV,Hybrid Electric,45,Automatic,
2011,Volt,Chevrolet,215,10126,Sedan/Wagon,Plug-in Hybrid Electric,57,,
2011,Yukon 1500 Hybrid,GMC,213,10077,SUV,Hybrid Electric,45,Automatic / Variable,
2012,ActiveHybrid 7,BMW,211,10281,Sedan/Wagon,Hybrid Electric,45,Semi-Automatic,
2012,Altima Hybrid,Nissan,217,10374,Sedan/Wagon,Hybrid Electric,45,Automatic / Variable,
2012,CODA,Coda Automotive,363,10420,Sedan/Wagon,Electric,41,Automatic,
2012,CR-Z Hybrid,Honda,209,10356,Sedan/Wagon,Hybrid Electric,45,Manual / 6 speed,
2012,CT 200h,Lexus,243,10362,Sedan/Wagon,Hybrid Electric,45,ECVT,
2012,Camry Hybrid,Toyota,221,10383,Sedan/Wagon,Hybrid Electric,45,ECVT,
2012,Cayenne S Hybrid,Porsche,391,10376,SUV,Hybrid Electric,45,Automatic / 8 speed,
2012,Civic Hybrid,Honda,209,10355,Sedan/Wagon,Hybrid Electric,45,CVT,
2012,Escalade Hybrid,Cadillac,231,10320,SUV,Hybrid Electric,45,Automatic / 4 speed,
2012,Escape Hybrid FWD/4WD,Ford,219,10312,SUV,Hybrid Electric,45,ECVT,
