modelId,modelFullName,brandName,brandId,modelName,epaClassification,epaClassificationId,evType,evTypeId,retired,startingPrice,startingPriceThousands,epaFuelEconomyEquivalent,rangeMilesBatteryOnly,rangeCombined,rangeBatteryPct,rangeGasPct,rangeElectricPriceThousandsRatio,rangeTotalPriceThousandsRatio,mpgPriceThousandsRatio,tankSize
1,Audi A3 Sportback e-tron,Audi,1,A3 Sportback e-tron,compact,1,ev,1,no,45125,45.125,83,75,75,100,0,1.662049861,1.662049861,1.83933518,
2,Audi e-tron,Audi,1,e-tron,suv,6,ev,1,no,75795,75.795,74,204,204,100,0,2.691470414,2.691470414,0.9763176991,
3,BMW 330e,BMW,2,330e,sedan,4,hybrid,2,no,42950,42.95,25,23,320,7.1875,92.8125,0.5355064028,7.450523865,0.5820721769,11.9
4,BMW 530e,BMW,2,530e,sedan,4,hybrid,2,no,57200,57.2,37,21,350,6,94,0.3671328671,6.118881119,0.6468531469,8.9
5,BMW 740e,BMW,2,740e,sedan,4,hybrid,2,no,90700,90.7,27,14,340,4.117647059,95.88235294,0.1543550165,3.74862183,0.2976846748,12.1
6,BMW i3,BMW,2,i3,compact,1,ev,1,no,45445,45.445,102,153,153,100,0,3.366707008,3.366707008,2.244471339,
7,BMW i8,BMW,2,i8,coupe,2,hybrid,2,no,148495,148.495,35,18,320,5.625,94.375,0.1212162026,2.154954712,0.2356981717,8.6
8,BMWX5 xDrive 40e,BMWX5,2,xDrive 40e,suv,6,hybrid,2,no,66395,66.395,25,14,540,2.592592593,97.40740741,0.2108592514,8.133142556,0.3765343776,21
9,Cadillac CT6 PHEV,Cadillac,3,CT6 PHEV,sedan,4,hybrid,2,no,76090,76.09,26,31,400,7.75,92.25,0.4074122749,5.25693258,0.3417006177,14.2
10,Cadillac ELR,Cadillac,3,ELR,coupe,2,hybrid,2,yes,65995,65.995,37,37,340,10.88235294,89.11764706,0.560648534,5.151905447,0.560648534,8.2
11,Chevrolet Bolt EV,Chevrolet,4,Bolt EV,hatchback,3,ev,1,no,32495,32.495,120,259,259,100,0,7.970456993,7.970456993,3.692875827,
12,Chevrolet Spark EV,Chevrolet,4,Spark EV,hatchback,3,ev,1,no,26385,26.385,119,82,82,100,0,3.107826417,3.107826417,4.510138336,
13,Chevrolet Volt,Chevrolet,4,Volt,sedan,4,hybrid,2,no,34395,34.395,42,38,420,9.047619048,90.95238095,1.104811746,12.21107719,1.221107719,9.1
14,Chrysler Pacifica Hybrid,Chrysler,5,Pacifica Hybrid,van,8,hybrid,2,no,49095,49.095,84,33,520,6.346153846,93.65384615,0.6721662084,10.59170995,1.71096853,5.8
