Date,Plug-In Hybrid Electric Vehicle (PHEV) Count,Battery Electric Vehicle (BEV) Count,Electric Vehicle (EV) Total
January 31 2017,8398,14799,23197
February 28 2017,8618,15308,23926
March 31 2017,8849,15799,24648
April 30 2017,9032,16455,25487
May 31 2017,9251,17031,26282
June 30 2017,9466,17601,27067
July 31 2017,9655,18120,27775
August 31 2017,9876,18576,28452
September 30 2017,10098,19076,29174
October 31 2017,10381,19634,30015
November 30 2017,10607,20076,30683
December 31 2017,10846,20458,31304
January 31 2018,11261,21052,32313
February 28 2018,11554,21307,32861
March 31 2018,11892,21752,33644
April 30 2018,12224,22300,34524
May 31 2018,12648,23064,35712
June 30 2018,13037,23792,36829
July 31 2018,13333,24333,37666
August 31 2018,13645,24912,38557
September 30 2018,13984,25505,39489
October 31 2018,14341,26879,41220
November 30 2018,14724,28156,42880
December 31 2018,15063,29130,44193
January 31 2019,15459,30529,45988
February 28 2019,15637,31113,46750
March 31 2019,15792,31458,47250
April 30 2019,16062,32491,48553
May 31 2019,16350,33178,49528
June 30 2019,16602,34017,50619
July 31 2019,16893,34996,51889
August 31 2019,17114,35756,52870
September 30 2019,17359,36529,53888
October 31 2019,17650,38126,55776
November 30 2019,17838,38593,56431
December 31 2019,18025,39275,57300
January 31 2020,18254,41310,59564
February 29 2020,18378,41792,60170
March 31 2020,18510,42572,61082
April 30 2020,18467,42958,61425
May 31 2020,18491,42968,61459
June 30 2020,18582,43261,61843
July 31 2020,18694,44677,63371
August 31 2020,18824,45310,64134
September 30 2020,19015,45891,64906
October 31 2020,19262,46905,66167
November 30 2020,19409,48275,67684
December 31 2020,19642,49080,68722
January 31 2021,19910,50625,70535
February 28 2021,20146,51496,71642
March 31 2021,20451,52310,72761
April 30 2021,20829,54201,75030
May 31 2021,21140,55425,76565
June 30 2021,21623,56520,78143
July 31 2021,21947,58533,80480
August 31 2021,22281,59997,82278
September 30 2021,22486,60998,83484
October 31 2021,22764,62488,85252
November 30 2021,23022,63958,86980
December 31 2021,23038,64647,87685
