Vehicle ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Category ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count,Engine Description,Manufacturer,Manufacturer URL,Category,Fuel Code,Fuel,Fuel Configuration Name,Electric-Only Range,PHEV Type,Notes,Drivetrain
13044,45,9,365,27,NSX,2022,,,,21,22,21,Auto,SI,3.5L,6,3.5L V6,Acura,http://www.acura.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12854,45,9,377,27,A3 ,2022,,,,29,38,32,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,FWD
12842,45,9,377,27,A3 quattro,2022,,,,28,36,31,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12783,45,9,377,27,A4 allroad quattro,2022,,,,24,30,26,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12782,45,9,377,27,A4 quattro,2022,,,,26,34,29,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12784,45,9,377,27,A4 S line quattro,2022,,,,24,31,27,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12786,45,9,377,27,A5 Cabriolet quattro,2022,,,,23,31,26,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12785,45,9,377,27,A5 Coupe quattro,2022,,,,24,31,27,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12787,45,9,377,27,A5 Sportback quattro,2022,,,,26,34,29,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12788,45,9,377,27,A5 Sportback S line quattro,2022,,,,24,31,27,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12791,45,9,377,27,A6 Allroad quattro,2022,,,,21,28,23,Auto,SI,3.0L,6,3.0L V6,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12789,45,9,377,27,A6 quattro,2022,,,,23,33,26,Auto,SI,2.0L,4,2.0L I4,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12790,45,9,377,27,A6 quattro,2022,,,,21,30,24,Auto,SI,3.0L,6,3.0L V6,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12794,45,9,377,27,A7 quattro,2022,,,,21,30,24,Auto,SI,3.0L,6,3.0L V6,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12831,57,,377,27,A7 TFSI e quattro,2022,,,70,25,31,27,Auto,SI,2.0L,4,"2.0L I4;
105 kW electric motor",Audi,http://progress.audiusa.com/,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,,26,Blended,,AWD
12928,45,9,377,27,A8L quattro,2022,,,,19,28,22,Auto,SI,3.0L,6,3.0L V6,Audi,http://progress.audiusa.com/,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,AWD
12949,41,,377,27,e-tron GT,2022,81,83,82,,,,Auto,e-motor,175 kW electric motor,,"175 kW electric motor;
129 Ah battery",Audi,http://progress.audiusa.com/,Sedan/Wagon,ELEC,Electric,,238,,,AWD
13002,41,,377,29,e-tron quattro,2022,78,77,78,,,,Auto,e-motor,141 kW and 172 kW electric motor,,"141 kW and 172 kW electric motors;
240 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,,222,,,AWD
12950,41,,377,29,"e-tron S (20"" wheels)",2022,72,75,73,,,,Auto,e-motor,138kW electric motor,,"138kW electric motor;
240 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,,208,,,AWD
12951,41,,377,29,"e-tron S (21"" or 22"" wheels)",2022,62,64,63,,,,Auto,e-motor,138kW electric motor,,"138kW electric motor;
240 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,,181,,,AWD
13001,41,,377,29,e-tron Sportback quattro,2022,76,78,77,,,,Auto,e-motor,141 kW and 172 kW electric motor,,"141 kW and 172 kW electric motors;
240 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,,218,,,AWD
12952,41,,377,29,"e-tron S Sportback (20"" wheels)",2022,73,78,75,,,,Auto,e-motor,138kW electric motor,,"138kW electric motor;
240 Ah battery",Audi,http://progress.audiusa.com/,SUV,ELEC,Electric,,212,,,AWD
