brandName,brandId,modelName,modelId,trimId,hasSales,range_km,usable_battery_kWh,acceleration_0-100km,top_speed_km/hr,energy_consumption_Wh/km,towing_weight_kg,url
Audi,1,e-tron 50 quattro,2,0,1,280,64.70,6.8,190,231,1800,https://ev-database.org/car/1660/Audi-e-tron-50-quattro
Audi,1,e-tron 55 quattro,2,1,1,365,86.50,5.7,200,237,1800,https://ev-database.org/car/1355/Audi-e-tron-55-quattro
Audi,1,e-tron GT quattro,2,2,1,420,85.0,4.1,245,202,0,https://ev-database.org/car/1420/Audi-e-tron-GT-quattro
Audi,1,e-tron GT RS,2,3,1,405,85.0,3.3,250,210,0,https://ev-database.org/car/1153/Audi-e-tron-GT-RS
Audi,1,e-tron S,2,4,1,320,86.5,4.5,210,270,1800,https://ev-database.org/car/1658/Audi-e-tron-S
Audi,1,e-tron S Sportback,1,0,1,330,86.5,4.5,210,262,1800,https://ev-database.org/car/1659/Audi-e-tron-S-Sportback
Audi,1,e-tron Sportback 50 quattro,1,1,1,295,64.7,6.8,190,219,1800,https://ev-database.org/car/1661/Audi-e-tron-Sportback-50-quattro
Audi,1,e-tron Sportback 55 quattro,1,2,1,380,86.5,5.7,200,228,1800,https://ev-database.org/car/1356/Audi-e-tron-Sportback-55-quattro
Audi,1,Q4 e-tron 35,53,0,0,285,52.0,9.0,160,182,0,https://ev-database.org/car/1179/Audi-Q4-e-tron-35
Audi,1,Q4 e-tron 40,53,1,0,405,76.6,8.5,160,189,1000,https://ev-database.org/car/1490/Audi-Q4-e-tron-40
Audi,1,Q4 e-tron 45 quattro,53,2,0,385,76.6,6.9,180,199,1200,https://ev-database.org/car/1527/Audi-Q4-e-tron-45-quattro
Audi,1,Q4 e-tron 50 quattro,53,3,0,385,76.6,6.2,180,199,1200,https://ev-database.org/car/1491/Audi-Q4-e-tron-50-quattro
Audi,1,Q4 Sportback e-tron 35,54,0,0,295,52.0,9.0,160,176,0,https://ev-database.org/car/1290/Audi-Q4-Sportback-e-tron-35
Audi,1,Q4 Sportback e-tron 40,54,1,0,425,76.6,8.5,160,180,1000,https://ev-database.org/car/1528/Audi-Q4-Sportback-e-tron-40
Audi,1,Q4 Sportback e-tron 50 quattro,54,2,0,400,76.6,6.2,180,192,1200,https://ev-database.org/car/1492/Audi-Q4-Sportback-e-tron-50-quattro
BMW,2,i3 120 Ah,6,0,1,235,37.9,7.3,150,161,0,https://ev-database.org/car/1145/BMW-i3-120-Ah
BMW,2,i3s 120 Ah,6,1,1,230,37.9,6.9,160,165,0,https://ev-database.org/car/1149/BMW-i3s-120-Ah
BMW,2,i4 eDrive40,55,0,0,470,80.7,5.7,190,172,1600,https://ev-database.org/car/1252/BMW-i4-eDrive40
BMW,2,i4 M50,55,1,0,435,80.7,3.9,225,186,1600,https://ev-database.org/car/1519/BMW-i4-M50
BMW,2,iX M60,56,2,0,485,105.2,3.8,250,217,2500,https://ev-database.org/car/1590/BMW-iX-M60
BMW,2,iX xDrive40,56,0,0,350,71.0,6.1,200,203,2500,https://ev-database.org/car/1472/BMW-iX-xDrive40
BMW,2,iX xDrive50,56,1,0,505,105.2,4.6,200,208,2500,https://ev-database.org/car/1473/BMW-iX-xDrive50
BMW,2,iX3,57,0,0,385,74.0,6.8,180,192,750,https://ev-database.org/car/1535/BMW-iX3
Fiat,6,500e 3+1,15,1,1,235,37.3,9.0,150,159,750,https://ev-database.org/car/1328/Fiat-500e-3plus1
Fiat,6,500e Cabrio,15,0,1,230,37.3,9.0,150,162,750,https://ev-database.org/car/1275/Fiat-500e-Cabrio
Fiat,6,500e Hatchback 24 kWh,15,2,1,135,21.3,9.5,135,158,750,https://ev-database.org/car/1327/Fiat-500e-Hatchback-24-kWh
Fiat,6,500e Hatchback 42 kWh,15,3,1,235,37.3,9.0,150,159,750,https://ev-database.org/car/1285/Fiat-500e-Hatchback-42-kWh
Ford,7,Mustang Mach-E ER AWD,58,3,0,420,88.0,5.8,180,210,750,https://ev-database.org/car/1245/Ford-Mustang-Mach-E-ER-AWD
Ford,7,Mustang Mach-E ER RWD,58,2,0,440,88.0,7.0,180,200,0,https://ev-database.org/car/1243/Ford-Mustang-Mach-E-ER-RWD
Ford,7,Mustang Mach-E GT,58,4,0,410,88.0,4.4,200,215,0,https://ev-database.org/car/1246/Ford-Mustang-Mach-E-GT
Ford,7,Mustang Mach-E SR AWD,58,1,0,330,68.0,6.3,180,206,1600,https://ev-database.org/car/1244/Ford-Mustang-Mach-E-SR-AWD
Ford,7,Mustang Mach-E SR RWD,58,0,0,345,68.0,6.9,180,197,1600,https://ev-database.org/car/1242/Ford-Mustang-Mach-E-SR-RWD
Genesis,23,GV60 Premium,59,0,0,390,72.5,7.3,185,186,1600,https://ev-database.org/car/1647/Genesis-GV60-Premium
Genesis,23,GV60 Sport,59,1,0,375,72.5,5.2,185,193,1600,https://ev-database.org/car/1648/Genesis-GV60-Sport
Genesis,23,GV60 Sport Plus,59,2,0,360,72.5,4.0,250,201,750,https://ev-database.org/car/1649/Genesis-GV60-Sport-Plus
Hyundai,9,IONIQ 5 Long Range 2WD,22,1,1,390,72.5,7.4,185,184,100,https://ev-database.org/car/1662/Hyundai-IONIQ-5-Long-Range-2WD
Hyundai,9,IONIQ 5 Long Range 2WD,22,2,1,380,70.0,7.4,185,186,750,https://ev-database.org/car/1478/Hyundai-IONIQ-5-Long-Range-2WD
Hyundai,9,IONIQ 5 Long Range AWD,22,3,1,385,72.5,5.2,185,188,0,https://ev-database.org/car/1663/Hyundai-IONIQ-5-Long-Range-AWD
Hyundai,9,IONIQ 5 Long Range AWD,22,4,1,370,70.0,5.2,185,189,0,https://ev-database.org/car/1479/Hyundai-IONIQ-5-Long-Range-AWD
Hyundai,9,IONIQ 5 Standard Range 2WD,22,5,1,295,54.0,8.5,185,183,300,https://ev-database.org/car/1476/Hyundai-IONIQ-5-Standard-Range-2WD
