price_per_kwh,dateValue
0.046,1978-11
0.046,1978-12
0.046,1979-1
0.047,1979-2
0.047,1979-3
0.048,1979-4
0.049,1979-5
0.052,1979-6
0.053,1979-7
0.053,1979-8
0.053,1979-9
0.053,1979-10
0.051,1979-11
0.052,1979-12
0.053,1980-1
0.055,1980-2
0.056,1980-3
0.056,1980-4
0.058,1980-5
0.063,1980-6
0.064,1980-7
0.064,1980-8
0.065,1980-9
0.063,1980-10
0.061,1980-11
0.062,1980-12
0.063,1981-1
0.064,1981-2
0.065,1981-3
0.066,1981-4
0.067,1981-5
0.071,1981-6
0.073,1981-7
0.075,1981-8
0.074,1981-9
0.072,1981-10
0.071,1981-11
0.071,1981-12
0.073,1982-1
0.073,1982-2
0.075,1982-3
0.075,1982-4
0.075,1982-5
0.079,1982-6
0.079,1982-7
0.079,1982-8
0.079,1982-9
0.077,1982-10
0.074,1982-11
0.075,1982-12
0.075,1983-1
0.075,1983-2
0.076,1983-3
0.075,1983-4
0.077,1983-5
0.081,1983-6
0.082,1983-7
0.082,1983-8
0.082,1983-9
0.08,1983-10
0.077,1983-11
0.077,1983-12
0.078,1984-1
0.079,1984-2
0.079,1984-3
0.08,1984-4
0.081,1984-5
0.086,1984-6
0.087,1984-7
0.089,1984-8
0.084,1984-9
0.081,1984-10
0.079,1984-11
0.078,1984-12
0.079,1985-1
0.079,1985-2
0.079,1985-3
0.08,1985-4
0.08,1985-5
0.085,1985-6
0.085,1985-7
0.085,1985-8
.,1985-9
0.082,1985-10
0.08,1985-11
0.08,1985-12
0.081,1986-1
0.075,1986-2
0.075,1986-3
0.074,1986-4
0.074,1986-5
0.08,1986-6
0.08,1986-7
0.08,1986-8
0.08,1986-9
0.074,1986-10
0.073,1986-11
0.073,1986-12
0.075,1987-1
0.076,1987-2
0.076,1987-3
0.076,1987-4
0.076,1987-5
0.084,1987-6
0.084,1987-7
0.085,1987-8
0.084,1987-9
0.078,1987-10
0.077,1987-11
0.077,1987-12
0.078,1988-1
0.078,1988-2
0.078,1988-3
0.077,1988-4
0.077,1988-5
0.084,1988-6
0.084,1988-7
0.084,1988-8
0.084,1988-9
0.08,1988-10
0.078,1988-11
0.078,1988-12
0.079,1989-1
0.079,1989-2
0.079,1989-3
0.079,1989-4
0.08,1989-5
0.086,1989-6
0.086,1989-7
0.086,1989-8
0.086,1989-9
0.081,1989-10
0.08,1989-11
0.081,1989-12
0.081,1990-1
0.081,1990-2
0.081,1990-3
0.082,1990-4
0.082,1990-5
0.088,1990-6
0.087,1990-7
0.087,1990-8
0.088,1990-9
0.083,1990-10
0.082,1990-11
0.082,1990-12
0.084,1991-1
0.084,1991-2
0.085,1991-3
0.084,1991-4
0.085,1991-5
0.09,1991-6
0.091,1991-7
0.09,1991-8
0.091,1991-9
0.087,1991-10
0.084,1991-11
0.085,1991-12
0.085,1992-1
0.084,1992-2
0.086,1992-3
0.086,1992-4
0.087,1992-5
0.092,1992-6
0.092,1992-7
0.091,1992-8
0.092,1992-9
0.088,1992-10
0.086,1992-11
0.088,1992-12
0.089,1993-1
0.087,1993-2
0.088,1993-3
0.088,1993-4
0.09,1993-5
0.094,1993-6
0.095,1993-7
0.097,1993-8
0.097,1993-9
0.093,1993-10
0.091,1993-11
0.09,1993-12
0.09,1994-1
0.09,1994-2
0.089,1994-3
0.088,1994-4
0.09,1994-5
0.095,1994-6
0.095,1994-7
0.096,1994-8
0.096,1994-9
0.093,1994-10
0.091,1994-11
0.091,1994-12
0.091,1995-1
0.091,1995-2
0.091,1995-3
0.09,1995-4
0.092,1995-5
0.098,1995-6
0.098,1995-7
0.098,1995-8
0.097,1995-9
0.094,1995-10
0.092,1995-11
0.091,1995-12
0.091,1996-1
0.091,1996-2
0.092,1996-3
0.092,1996-4
0.092,1996-5
0.096,1996-6
0.099,1996-7
0.099,1996-8
0.099,1996-9
0.095,1996-10
0.092,1996-11
0.092,1996-12
0.092,1997-1
0.092,1997-2
0.093,1997-3
0.092,1997-4
0.093,1997-5
0.099,1997-6
0.099,1997-7
0.098,1997-8
0.099,1997-9
0.093,1997-10
0.092,1997-11
0.09,1997-12
0.086,1998-1
0.085,1998-2
0.085,1998-3
0.085,1998-4
0.086,1998-5
0.091,1998-6
0.091,1998-7
0.09,1998-8
0.089,1998-9
0.086,1998-10
0.084,1998-11
0.084,1998-12
0.084,1999-1
0.084,1999-2
0.084,1999-3
0.084,1999-4
0.085,1999-5
0.089,1999-6
0.09,1999-7
0.089,1999-8
0.09,1999-9
0.087,1999-10
0.085,1999-11
0.085,1999-12
