date,dateId,pricePerGallonGas,,,,
Aug-1990,"33,116",,,,,
Sep-1990,"33,146",1.258,,,,
Oct-1990,"33,177",1.335,,,,
Nov-1990,"33,207",1.324,,,,
Dec-1990,"33,238",,,,,
Jan-1991,"33,269",,,,,
Feb-1991,"33,297",1.094,,,,
Mar-1991,"33,328",1.04,,,,
Apr-1991,"33,358",1.076,,,,
May-1991,"33,389",1.126,,,,
Jun-1991,"33,419",1.128,,,,
Jul-1991,"33,450",1.096,,,,
Aug-1991,"33,481",1.115,,,,
Sep-1991,"33,511",1.109,,,,
Oct-1991,"33,542",1.088,,,,
Nov-1991,"33,572",1.099,,,,
Dec-1991,"33,603",1.076,,,,
Jan-1992,"33,634",1.022,,,,
Feb-1992,"33,663",1.006,,,,
Mar-1992,"33,694",1.013,,,,
Apr-1992,"33,724",1.052,,,,
May-1992,"33,755",1.107,,,,
Jun-1992,"33,785",1.145,,,,
Jul-1992,"33,816",1.137,,,,
Aug-1992,"33,847",1.122,,,,
Sep-1992,"33,877",1.122,,,,
Oct-1992,"33,908",1.114,,,,
Nov-1992,"33,938",1.111,,,,
Dec-1992,"33,969",1.078,,,,
Jan-1993,"34,000",1.062,,,,
Feb-1993,"34,028",1.054,,,,
Mar-1993,"34,059",1.052,,,,
Apr-1993,"34,089",1.078,,,,
May-1993,"34,120",1.1,,,,
Jun-1993,"34,150",1.097,,,,
Jul-1993,"34,181",1.078,,,,
Aug-1993,"34,212",1.062,,,,
Sep-1993,"34,242",1.05,,,,
Oct-1993,"34,273",1.092,,,,
Nov-1993,"34,303",1.066,,,,
Dec-1993,"34,334",1.014,,,,
Jan-1994,"34,365",0.998,,,,
Feb-1994,"34,393",1.009,,,,
Mar-1994,"34,424",1.008,,,,
Apr-1994,"34,454",1.027,,,,
May-1994,"34,485",1.047,,,,
Jun-1994,"34,515",1.078,,,,
Jul-1994,"34,546",1.106,,,,
Aug-1994,"34,577",1.155,,,,
Sep-1994,"34,607",1.144,,,,
Oct-1994,"34,638",1.114,,,,
Nov-1994,"34,668",1.116,,,,
Dec-1994,"34,699",1.091,,,,
Jan-1995,"34,730",1.082,,,,
Feb-1995,"34,758",1.073,,,,
Mar-1995,"34,789",1.072,,,,
Apr-1995,"34,819",1.111,,,,
May-1995,"34,850",1.178,,,,
Jun-1995,"34,880",1.192,,,,
Jul-1995,"34,911",1.154,,,,
Aug-1995,"34,942",1.123,,,,
Sep-1995,"34,972",1.111,,,,
Oct-1995,"35,003",1.087,,,,
Nov-1995,"35,033",1.062,,,,
Dec-1995,"35,064",1.071,,,,
Jan-1996,"35,095",1.09,,,,
Feb-1996,"35,124",1.089,,,,
Mar-1996,"35,155",1.137,,,,
Apr-1996,"35,185",1.231,,,,
May-1996,"35,216",1.279,,,,
Jun-1996,"35,246",1.256,,,,
Jul-1996,"35,277",1.227,,,,
Aug-1996,"35,308",1.207,,,,
Sep-1996,"35,338",1.202,,,,
Oct-1996,"35,369",1.204,,,,
Nov-1996,"35,399",1.232,,,,
Dec-1996,"35,430",1.235,,,,
Jan-1997,"35,461",1.236,,,,
Feb-1997,"35,489",1.23,,,,
Mar-1997,"35,520",1.205,,,,
Apr-1997,"35,550",1.199,,,,
May-1997,"35,581",1.2,,,,
Jun-1997,"35,611",1.198,,,,
Jul-1997,"35,642",1.174,,,,
Aug-1997,"35,673",1.224,,,,
Sep-1997,"35,703",1.231,,,,
Oct-1997,"35,734",1.197,,,,
Nov-1997,"35,764",1.171,,,,
Dec-1997,"35,795",1.131,,,,
Jan-1998,"35,826",1.086,,,,
Feb-1998,"35,854",1.049,,,,
Mar-1998,"35,885",1.017,,,,
Apr-1998,"35,915",1.03,,,,
May-1998,"35,946",1.064,,,,
Jun-1998,"35,976",1.064,,,,
Jul-1998,"36,007",1.055,,,,
Aug-1998,"36,038",1.026,,,,
Sep-1998,"36,068",1.009,,,,
Oct-1998,"36,099",1.019,,,,
Nov-1998,"36,129",0.995,,,,
Dec-1998,"36,160",0.945,,,,
Jan-1999,"36,191",0.939,,,,
Feb-1999,"36,219",0.921,,,,
Mar-1999,"36,250",0.982,,,,
Apr-1999,"36,280",1.131,,,,
May-1999,"36,311",1.131,,,,
Jun-1999,"36,341",1.114,,,,
Jul-1999,"36,372",1.158,,,,
Aug-1999,"36,403",1.221,,,,
Sep-1999,"36,433",1.256,,,,
Oct-1999,"36,464",1.244,,,,
Nov-1999,"36,494",1.251,,,,
Dec-1999,"36,525",1.273,,,,
Jan-2000,"36,556",1.289,,,,
Feb-2000,"36,585",1.377,,,,
Mar-2000,"36,616",1.516,,,,
Apr-2000,"36,646",1.465,,,,
May-2000,"36,677",1.487,,,,
Jun-2000,"36,707",1.633,,,,
Jul-2000,"36,738",1.551,,,,
Aug-2000,"36,769",1.465,,,,
Sep-2000,"36,799",1.55,,,,
Oct-2000,"36,830",1.532,,,,
Nov-2000,"36,860",1.517,,,,
Dec-2000,"36,891",1.443,,,,
Jan-2001,"36,922",1.447,,,,
Feb-2001,"36,950",1.45,,,,
Mar-2001,"36,981",1.409,,,,
Apr-2001,"37,011",1.552,,,,
May-2001,"37,042",1.702,,,,
Jun-2001,"37,072",1.616,,,,
Jul-2001,"37,103",1.421,,,,
Aug-2001,"37,134",1.421,,,,
Sep-2001,"37,164",1.522,,,,
Oct-2001,"37,195",1.315,,,,
Nov-2001,"37,225",1.171,,,,
Dec-2001,"37,256",1.086,,,,
Jan-2002,"37,287",1.107,,,,
Feb-2002,"37,315",1.114,,,,
Mar-2002,"37,346",1.249,,,,
Apr-2002,"37,376",1.397,,,,
May-2002,"37,407",1.392,,,,
Jun-2002,"37,437",1.382,,,,
Jul-2002,"37,468",1.397,,,,
Aug-2002,"37,499",1.396,,,,
Sep-2002,"37,529",1.4,,,,
Oct-2002,"37,560",1.445,,,,
Nov-2002,"37,590",1.419,,,,
Dec-2002,"37,621",1.386,,,,
Jan-2003,"37,652",1.458,,,,
Feb-2003,"37,680",1.613,,,,
Mar-2003,"37,711",1.693,,,,
Apr-2003,"37,741",1.589,,,,
May-2003,"37,772",1.497,,,,
Jun-2003,"37,802",1.493,,,,
Jul-2003,"37,833",1.513,,,,
Aug-2003,"37,864",1.62,,,,
Sep-2003,"37,894",1.679,,,,
Oct-2003,"37,925",1.564,,,,
Nov-2003,"37,955",1.512,,,,
Dec-2003,"37,986",1.479,,,,
Jan-2004,"38,017",1.572,,,,
Feb-2004,"38,046",1.648,,,,
Mar-2004,"38,077",1.736,,,,
Apr-2004,"38,107",1.798,,,,
May-2004,"38,138",1.983,,,,
