City,State,2018,2019,2020
Abilene, TX,"44,039","46,493","49,948"
Akron, OH,"49,770","51,714","54,843"
Albany, GA,"36,889","38,764","42,744"
Albany-Lebanon, OR,"42,811","43,971","48,040"
Albany-Schenectady-Troy, NY,"57,743","60,500","65,112"
Albuquerque, NM,"42,129","43,975","47,442"
Alexandria, LA,"42,744","44,475","47,961"
Allentown-Bethlehem-Easton, PA-NJ,"53,518","55,363","59,193"
Altoona, PA,"46,236","47,573","52,096"
Amarillo, TX,"46,895","49,008","51,116"
Ames, IA,"43,564","45,160","47,233"
Anchorage, AK,"61,584","63,208","64,904"
Ann Arbor, MI,"58,667","61,101","63,655"
Anniston-Oxford, AL,"36,482","37,708","40,195"
Appleton, WI,"50,951","52,743","54,988"
Asheville, NC,"45,540","47,559","49,809"
Athens-Clarke County, GA,"40,371","42,391","44,364"
Atlanta-Sandy Springs-Alpharetta, GA,"53,354","55,668","58,773"
Atlantic City-Hammonton, NJ,"48,110","51,247","55,802"
Auburn-Opelika, AL,"38,184","40,439","42,468"
Augusta-Richmond County, GA-SC,"41,738","43,512","46,594"
Austin-Round Rock-Georgetown, TX,"60,764","62,460","64,913"
Bakersfield, CA,"38,079","39,559","44,721"
Baltimore-Columbia-Towson, MD,"60,766","62,702","66,695"
Bangor, ME,"41,554","43,083","47,315"
Barnstable Town, MA,"71,735","75,339","80,420"
Baton Rouge, LA,"48,500","49,994","52,978"
Battle Creek, MI,"39,189","40,428","44,729"
Bay City, MI,"42,286","43,554","47,786"
Beaumont-Port Arthur, TX,"44,232","45,115","47,281"
Beckley, WV,"39,240","41,026","42,914"
Bellingham, WA,"47,898","49,868","52,787"
Bend, OR,"55,473","57,493","61,216"
Billings, MT,"52,457","54,197","56,649"
Binghamton, NY,"43,754","45,505","49,652"
Birmingham-Hoover, AL,"51,377","53,185","55,074"
Bismarck, ND,"57,640","59,371","61,404"
Blacksburg-Christiansburg, VA,"37,683","38,220","40,692"
Bloomington, IL,"49,302","49,760","54,639"
Bloomington, IN,"41,899","43,712","46,502"
Bloomsburg-Berwick, PA,"45,463","46,776","50,771"
Boise City, ID,"46,237","47,674","50,474"
Boston-Cambridge-Newton, MA-NH,"77,752","80,965","85,724"
Boulder, CO,"72,607","77,305","79,649"
Bowling Green, KY,"36,082","37,074","39,734"
Bremerton-Silverdale-Port Orchard, WA,"54,597","57,197","60,704"
Bridgeport-Stamford-Norwalk, CT,"116,757","118,515","120,244"
Brownsville-Harlingen, TX,"28,978","30,187","33,690"
Brunswick, GA,"41,595","42,593","45,251"
Buffalo-Cheektowaga, NY,"49,344","51,296","55,777"
Burlington, NC,"39,742","41,256","43,973"
