County,FIPSC,FIPS,State,2018,2019,2020
Autauga,1001,01001,Alabama,"42,931","44,368","46,814"
Baldwin,1003,01003,Alabama,"46,905","48,270","50,953"
Barbour,1005,01005,Alabama,"34,064","35,572","37,850"
Bibb,1007,01007,Alabama,"30,250","31,540","34,300"
Blount,1009,01009,Alabama,"35,905","36,969","38,808"
Bullock,1011,01011,Alabama,"26,841","28,136","31,944"
Butler,1013,01013,Alabama,"35,932","38,073","39,988"
Calhoun,1015,01015,Alabama,"36,482","37,708","40,195"
Chambers,1017,01017,Alabama,"34,055","36,110","38,508"
Cherokee,1019,01019,Alabama,"35,647","36,381","37,869"
Chilton,1021,01021,Alabama,"34,982","36,471","38,778"
Choctaw,1023,01023,Alabama,"38,200","39,097","42,231"
Clarke,1025,01025,Alabama,"35,437","37,061","40,822"
Clay,1027,01027,Alabama,"33,131","34,185","37,179"
Cleburne,1029,01029,Alabama,"35,668","35,905","37,734"
Coffee,1031,01031,Alabama,"42,176","43,319","45,262"
Colbert,1033,01033,Alabama,"37,601","38,860","41,941"
Conecuh,1035,01035,Alabama,"32,588","33,596","36,908"
Coosa,1037,01037,Alabama,"31,344","32,548","34,683"
Covington,1039,01039,Alabama,"35,487","35,927","37,930"
Crenshaw,1041,01041,Alabama,"36,283","36,783","38,161"
Cullman,1043,01043,Alabama,"39,525","41,211","42,659"
Dale,1045,01045,Alabama,"36,497","37,831","40,111"
Dallas,1047,01047,Alabama,"34,915","37,033","41,195"
DeKalb,1049,01049,Alabama,"32,196","33,427","35,100"
Elmore,1051,01051,Alabama,"42,956","44,561","47,270"
Escambia,1053,01053,Alabama,"32,445","34,338","37,137"
Etowah,1055,01055,Alabama,"36,583","37,700","39,852"
Fayette,1057,01057,Alabama,"34,231","35,856","38,001"
Franklin,1059,01059,Alabama,"33,951","34,831","37,362"
Geneva,1061,01061,Alabama,"34,708","36,455","38,358"
Greene,1063,01063,Alabama,"30,762","32,534","35,992"
Hale,1065,01065,Alabama,"35,615","37,825","41,190"
Henry,1067,01067,Alabama,"42,010","43,738","45,409"
Houston,1069,01069,Alabama,"42,611","44,300","47,072"
Jackson,1071,01071,Alabama,"36,672","38,002","40,089"
Jefferson,1073,01073,Alabama,"54,777","56,599","58,424"
Lamar,1075,01075,Alabama,"33,022","34,549","37,161"
Lauderdale,1077,01077,Alabama,"36,712","38,135","40,729"
Lawrence,1079,01079,Alabama,"33,900","35,414","38,098"
Lee,1081,01081,Alabama,"38,184","40,439","42,468"
Limestone,1083,01083,Alabama,"43,495","44,841","47,695"
Lowndes,1085,01085,Alabama,"39,544","41,449","44,921"
Macon,1087,01087,Alabama,"32,321","34,213","37,834"
Madison,1089,01089,Alabama,"51,759","54,169","57,128"
Marengo,1091,01091,Alabama,"39,217","40,297","43,854"
Marion,1093,01093,Alabama,"32,459","33,433","36,330"
Marshall,1095,01095,Alabama,"35,990","37,913","40,045"
Mobile,1097,01097,Alabama,"38,195","40,003","42,823"
Monroe,1099,01099,Alabama,"32,808","34,489","38,192"
Montgomery,1101,01101,Alabama,"43,442","44,597","47,776"
Morgan,1103,01103,Alabama,"39,908","41,895","44,679"
Perry,1105,01105,Alabama,"30,795","32,198","36,217"
Pickens,1107,01107,Alabama,"32,981","34,590","36,861"
Pike,1109,01109,Alabama,"36,785","38,057","40,342"
Randolph,1111,01111,Alabama,"32,974","33,708","35,208"
Russell,1113,01113,Alabama,"32,270","33,796","36,526"
