,City,State,2018,2019,2020
0,Abilene, TX,44039,46493,49948
1,Akron, OH,49770,51714,54843
2,Albany, GA,36889,38764,42744
3,Albany-Lebanon, OR,42811,43971,48040
4,Albany-Schenectady-Troy, NY,57743,60500,65112
5,Albuquerque, NM,42129,43975,47442
6,Alexandria, LA,42744,44475,47961
7,Allentown-Bethlehem-Easton, PA-NJ,53518,55363,59193
8,Altoona, PA,46236,47573,52096
9,Amarillo, TX,46895,49008,51116
10,Ames, IA,43564,45160,47233
11,Anchorage, AK,61584,63208,64904
12,Ann Arbor, MI,58667,61101,63655
13,Anniston-Oxford, AL,36482,37708,40195
14,Appleton, WI,50951,52743,54988
15,Asheville, NC,45540,47559,49809
16,Athens-Clarke County, GA,40371,42391,44364
17,Atlanta-Sandy Springs-Alpharetta, GA,53354,55668,58773
18,Atlantic City-Hammonton, NJ,48110,51247,55802
19,Auburn-Opelika, AL,38184,40439,42468
20,Augusta-Richmond County, GA-SC,41738,43512,46594
21,Austin-Round Rock-Georgetown, TX,60764,62460,64913
22,Bakersfield, CA,38079,39559,44721
23,Baltimore-Columbia-Towson, MD,60766,62702,66695
24,Bangor, ME,41554,43083,47315
25,Barnstable Town, MA,71735,75339,80420
26,Baton Rouge, LA,48500,49994,52978
27,Battle Creek, MI,39189,40428,44729
28,Bay City, MI,42286,43554,47786
29,Beaumont-Port Arthur, TX,44232,45115,47281
30,Beckley, WV,39240,41026,42914
31,Bellingham, WA,47898,49868,52787
32,Bend, OR,55473,57493,61216
33,Billings, MT,52457,54197,56649
34,Binghamton, NY,43754,45505,49652
35,Birmingham-Hoover, AL,51377,53185,55074
36,Bismarck, ND,57640,59371,61404
37,Blacksburg-Christiansburg, VA,37683,38220,40692
38,Bloomington, IL,49302,49760,54639
39,Bloomington, IN,41899,43712,46502
40,Bloomsburg-Berwick, PA,45463,46776,50771
41,Boise City, ID,46237,47674,50474
42,Boston-Cambridge-Newton, MA-NH,77752,80965,85724
43,Boulder, CO,72607,77305,79649
44,Bowling Green, KY,36082,37074,39734
45,Bremerton-Silverdale-Port Orchard, WA,54597,57197,60704
46,Bridgeport-Stamford-Norwalk, CT,116757,118515,120244
47,Brownsville-Harlingen, TX,28978,30187,33690
48,Brunswick, GA,41595,42593,45251
49,Buffalo-Cheektowaga, NY,49344,51296,55777
50,Burlington, NC,39742,41256,43973
51,Burlington-South Burlington, VT,56799,58650,61802
52,California-Lexington Park, MD,56372,57891,61144
53,Canton-Massillon, OH,44544,46019,49255
54,Cape Coral-Fort Myers, FL,52022,52832,54707
55,Cape Girardeau, MO-IL,42816,43506,45802
56,Carbondale-Marion, IL,40124,41233,44335
57,Carson City, NV,50378,52880,56510
58,Casper, WY,71185,70054,68447
59,Cedar Rapids, IA,52032,52898,55971
60,Chambersburg-Waynesboro, PA,46435,48014,51979
61,Champaign-Urbana, IL,44971,46203,49967
62,Charleston, WV,44328,45527,48623
63,Charleston-North Charleston, SC,50814,53279,55321
64,Charlotte-Concord-Gastonia, NC-SC,52232,54086,56682
65,Charlottesville, VA,66576,67809,69853
66,Chattanooga, TN-GA,45935,47104,49865
67,Cheyenne, WY,52224,53532,55094
68,Chicago-Naperville-Elgin, IL-IN-WI,61970,64079,67671
69,Chico, CA,42441,45175,50279
70,Cincinnati, OH-KY-IN,54109,56402,59607
71,Clarksville, TN-KY,40928,42209,44908
72,Cleveland, TN,38418,39505,41756
73,Cleveland-Elyria, OH,53881,55294,58846
74,Coeur d'Alene, ID,45311,46762,48953
75,College Station-Bryan, TX,41146,41965,44037
76,Colorado Springs, CO,48562,50862,54166
77,Columbia, MO,45575,47977,50421
78,Columbia, SC,44739,46273,48971
79,Columbus, GA-AL,40276,41806,44760
80,Columbus, IN,51441,53268,55804
81,Columbus, OH,51196,52522,56252
82,Corpus Christi, TX,43618,46336,48060
83,Corvallis, OR,45846,47920,50399
84,Crestview-Fort Walton Beach-Destin, FL,52807,55156,58663
85,Cumberland, MD-WV,39817,41166,44308
86,Dallas-Fort Worth-Arlington, TX,57562,59409,61554
87,Dalton, GA,36697,37995,40781
88,Danville, IL,38433,39696,44533
89,Daphne-Fairhope-Foley, AL,46905,48270,50953
90,Davenport-Moline-Rock Island, IA-IL,48660,49614,53620
91,Dayton-Kettering, OH,47682,48990,52367
92,Decatur, AL,38608,40499,43264
93,Decatur, IL,47662,48151,52196
94,Deltona-Daytona Beach-Ormond Beach, FL,43575,45174,47194
95,Denver-Aurora-Lakewood, CO,64114,67089,69822
96,Des Moines-West Des Moines, IA,53814,55065,58076
97,Detroit-Warren-Dearborn, MI,52469,54213,58356
98,Dothan, AL,41141,42857,45349
99,Dover, DE,42155,43761,46600
100,Dubuque, IA,49703,51329,54751
101,Duluth, MN-WI,45717,47150,49785
102,Durham-Chapel Hill, NC,52243,54408,56703
103,East Stroudsburg, PA,42708,44150,48409
104,Eau Claire, WI,47300,48822,51569
105,El Centro, CA,35331,37196,44500
106,Elizabethtown-Fort Knox, KY,41440,43331,46770
107,Elkhart-Goshen, IN,46541,46845,49875
108,Elmira, NY,43941,45658,49439
109,El Paso, TX,36347,38681,41732
110,Enid, OK,44288,45053,46702
111,Erie, PA,44740,46259,50536
112,Eugene-Springfield, OR,44957,45960,49583
113,Evansville, IN-KY,46925,49168,51695
114,Fairbanks, AK,56888,59194,62254
115,Fargo, ND-MN,53618,55292,58158
116,Farmington, NM,35408,36095,38370
117,Fayetteville, NC,36324,38060,40972
118,Fayetteville-Springdale-Rogers, AR,67281,68808,70085
119,Flagstaff, AZ,48416,48837,53036
120,Flint, MI,40495,41940,46152
121,Florence, SC,40184,42238,45178
122,Florence-Muscle Shoals, AL,37042,38405,41181
123,Fond du Lac, WI,48245,49922,52813
124,Fort Collins, CO,53836,55935,58725
125,Fort Smith, AR-OK,37211,38666,40801
126,Fort Wayne, IN,46551,47762,50238
127,Fresno, CA,41248,43019,48495
128,Gadsden, AL,36583,37700,39852
129,Gainesville, FL,43026,44734,47729
130,Gainesville, GA,44831,46409,48759
131,Gettysburg, PA,48826,50785,54172
132,Glens Falls, NY,46461,48527,53074
133,Goldsboro, NC,38115,40116,42882
134,Grand Forks, ND-MN,49813,51429,57102
135,Grand Island, NE,43165,44836,48375
136,Grand Junction, CO,44691,45898,48435
137,Grand Rapids-Kentwood, MI,49040,50474,54037
138,Grants Pass, OR,40980,43694,46913
139,Great Falls, MT,47529,49201,52226
140,Greeley, CO,47884,48923,52054
141,Green Bay, WI,51276,52453,55159
142,Greensboro-High Point, NC,42745,44456,47171
143,Greenville, NC,41163,42882,45169
144,Greenville-Anderson, SC,44160,45505,47836
145,Gulfport-Biloxi, MS,36703,37983,41111
146,Hagerstown-Martinsburg, MD-WV,43505,44637,47759
147,Hammond, LA,37928,38963,41792
148,Hanford-Corcoran, CA,35267,36442,41829
149,Harrisburg-Carlisle, PA,52270,54304,58372
150,Harrisonburg, VA,39471,40413,43232
151,Hartford-East Hartford-Middletown, CT,62445,64101,67343
152,Hattiesburg, MS,38334,39076,41779
153,Hickory-Lenoir-Morganton, NC,39205,40607,43496
154,Hilton Head Island-Bluffton, SC,52973,55636,57565
155,Hinesville, GA,34575,34832,37578
156,Homosassa Springs, FL,38263,39701,41933
157,Hot Springs, AR,40053,41502,44358
158,Houma-Thibodaux, LA,42818,44110,47259
159,Houston-The Woodlands-Sugar Land, TX,57875,58884,59893
160,Huntington-Ashland, WV-KY-OH,40335,41287,44423
161,Huntsville, AL,50044,52208,55126
162,Idaho Falls, ID,45205,49578,51729
163,Indianapolis-Carmel-Anderson, IN,54874,57629,60431
164,Iowa City, IA,54289,55538,56947
165,Ithaca, NY,44692,46052,49486
166,Jackson, MI,39359,40413,44889
167,Jackson, MS,43423,44794,47992
168,Jackson, TN,39585,41503,44123
169,Jacksonville, FL,50411,52184,55125
170,Jacksonville, NC,40077,40671,43122
171,Janesville-Beloit, WI,43868,46018,48836
172,Jefferson City, MO,42101,44548,47827
173,Johnson City, TN,39978,41519,44020
174,Johnstown, PA,43050,44620,48637
175,Jonesboro, AR,36294,37719,40140
176,Joplin, MO,40371,40691,42255
177,Kahului-Wailuku-Lahaina, HI,47886,50536,51838
178,Kalamazoo-Portage, MI,47968,49305,52403
179,Kankakee, IL,41173,42857,46988
180,Kansas City, MO-KS,53688,55691,58057
181,Kennewick-Richland, WA,43203,45361,49042
182,Killeen-Temple, TX,42169,43033,45574
183,Kingsport-Bristol, TN-VA,39689,40540,42869
184,Kingston, NY,50378,52554,56071
185,Knoxville, TN,46341,48179,50540
186,Kokomo, IN,41689,42409,44945
187,La Crosse-Onalaska, WI-MN,49888,52084,54656
188,Lafayette, LA,43657,44556,47553
189,Lafayette-West Lafayette, IN,39453,40106,42467
190,Lake Charles, LA,48516,49517,50935
191,Lake Havasu City-Kingman, AZ,33083,34274,36529
192,Lakeland-Winter Haven, FL,36048,37183,39760
193,Lancaster, PA,52682,54529,58434
194,Lansing-East Lansing, MI,41190,42535,46323
195,Laredo, TX,31907,33305,35626
196,Las Cruces, NM,35805,37413,40218
197,Las Vegas-Henderson-Paradise, NV,47184,49225,51244
198,Lawrence, KS,43888,45174,47494
199,Lawton, OK,41236,42700,45538
200,Lebanon, PA,47772,49099,52743
201,Lewiston, ID-WA,44434,46255,50092
202,Lewiston-Auburn, ME,40869,42698,46357
203,Lexington-Fayette, KY,47827,49814,52559
204,Lima, OH,42427,43268,46500
205,Lincoln, NE,49479,50565,53057
206,Little Rock-North Little Rock-Conway, AR,45563,47032,49837
207,Logan, UT-ID,39190,41538,44508
208,Longview, TX,42174,43575,45075
209,Longview, WA,43407,45124,48232
