LawId,State,Title,Text,Type,Topic,Enacted_Date,Amended_Date,Recent?,Significant_Update_Date,Tech_Categories,User_Categories,Incentive_Categories,Regulation_Categories
5197,AK,Alternative Fuel Vehicle Acquisition Requirement,"The Alaska Department of Transportation and Public Facilities
(Department) must evaluate the cost, efficiency, and commercial
availability of alternative fuels for automotive purposes every five
years, and purchase or convert to vehicles that operate using
alternative fuels whenever practical. The Department may participate in
joint ventures with public or private partners to foster the
availability of alternative fuels for consumers. (Reference [Alaska
Statutes](http://www.akleg.gov/basis/statutes.asp) 44.42.020)
",Laws and Regulations,,,,False,,AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|PHEV|LPG,OTHER,,REQ
12571,AK,Residential Electric Vehicle Supply Equipment (EVSE) Credit – Chugach Electric Association (CEA),"CEA provides eligible residential customers a \$200 bill credit per
residential charger, up to two chargers per household, for sharing
information on plug-in electric vehicles, EVSEs, and average miles
driven per year. For more information, including eligibility
requirements, see the CEA [Electric
Vehicles](https://www.chugachelectric.com/energy-solutions/electric-vehicles)
page.
",Utility/Private Incentives,Vehicle Purchase and Infrastructure Development Incentives,,,False,2021-05-11 17:12:30 UTC,ELEC|PHEV,IND,RBATE,
12572,AK,Commercial Electric Vehicle Supply Equipment (EVSE) Rebates - Chugach Electric Association (CEA),"CEA offers rebates to commercial customers for the purchase and
installation of Level 2 EVSE. Rebates are available in the following
amounts:

  Applicant Type                                                        Rebate Amounts
  --------------------------------------------------------------------- -----------------------------------------------
  Workplace                                                             \$5,000 per EVSE; up to \$15,000 per location
  Hotel                                                                 Up to \$2,500 per location
  Fleet                                                                 \$1,500 per EVSE; up to \$3,000 per location
  Rental Car Companies at Ted Stevens Anchorage International Airport   \$1,500 per EVSE; up to \$3,000 per location
  Commercial                                                            \$500 per EVSE; up to \$1,000 per location

Fleet recipients must agree to share observations regarding the use and
economy of an electric vehicle in their fleet with CEA. Workplace
recipients must agree to provide information about the usage of EVSE
with CEA for 36 months after installation. For more information,
including eligibility requirements, see the CEA [Electric
Vehicles](https://www.chugachelectric.com/energy-solutions/electric-vehicles)
page.
",Utility/Private Incentives,Vehicle Purchase and Infrastructure Development Incentives,,,False,2021-05-11 17:17:06 UTC,ELEC|PHEV,STATION|FLEET,RBATE,
12573,AK,Electric Vehicle (EV) Rebate – Alaska Power and Telephone (AP&T),"AP&T offers a rebate of \$1,000 to residential customers who own a new
or used EV, including electric motorcycles, with a minimum battery size
of at least 16 kilowatts. For more information, see the AP&T
[Amp-Up](https://www.aptalaska.com/amp-up/) website.
",Utility/Private Incentives,Vehicle Purchase and Infrastructure Development Incentives,,,False,2021-05-11 17:21:47 UTC,ELEC,IND,RBATE,
12574,AK,Plug-In Electric Vehicle (PEV) Time-of-Use (TOU) Rate – Alaska Electric Light & Power (AELP),"AELP offers a TOU rate to residential customers that own or lease PEVs
with batteries greater than 16 kilowatts. For more information, see the
AELP [Electric
Vehicle](https://www.aelp.com/Energy-Conservation/Electric-Vehicles)
website.
",Utility/Private Incentives,,,,False,2021-05-11 17:23:27 UTC,ELEC|PHEV,IND,TOU,
12759,AK,Public Utility Definition,"Entities providing electric vehicle charging stations are not defined as
public utilities and are not subject to restrictions on the resale of
electric service. (Reference [Regulatory Commission of
Alaska](http://rca.alaska.gov/RCAWeb/home.aspx) U-21-022(2))
",Laws and Regulations,,2021-06-24 00:00:00 UTC,,True,2021-12-13 13:52:55 UTC,ELEC|PHEV,STATION,,UTILITY
6546,AL,Fuel-Efficient Green Fleets Policy and Fleet Management Program Development,"The Alabama Legislature established a Green Fleets Review Committee
(Committee) and Green Fleets Policy (Policy) outlining a procedure for
procuring state vehicles based on criteria that includes fuel economy
and life cycle costing. State fleet managers must classify their vehicle
inventory for compliance with the Policy and submit annual plans for
procuring fuel-efficient vehicles. These plans must reflect a 4% annual
increase in average fleet fuel economy for light-duty vehicles, a 3%
annual increase in average fleet fuel economy for medium-duty vehicles,
and a 2% annual increase in average fleet fuel economy for heavy-duty
vehicles per fiscal year. Government entities must manage and operate
their fleets in a manner that is energy efficient, minimizes emissions,
and reduces petroleum dependency by using specified proven technology
the Committee identifies.

(Reference [Code of
Alabama](http://alisondb.legislature.state.al.us/acas/ACASLoginfire.asp)
41-17A-1 through 41-17A-6)
",Laws and Regulations,,2009-01-01 00:00:00 UTC,2013-03-21 00:00:00 UTC,False,,BIOD|ETH|ELEC|EFFEC|HEV|HY|IR|NG|PHEV|LPG,GOV,,REQ
9374,AL,Residential Plug-In Electric Vehicle (PEV) Time-Of-Use (TOU) Rates - Alabama Power,"Alabama Power offers a discounted TOU rate to residential customers that
own or lease a PEV. Under this rate rider, customers receive a discount
on all energy consumed during the discount period without separately
metering PEV charging. For more information, see the Alabama Power [PEV
rate](https://www.alabamapower.com/content/dam/alabamapower/Rates/pev.pdf)
website.
",Utility/Private Incentives,,,,False,,ELEC|PHEV,STATION|PURCH|IND,TOU,
12015,AL,Public Utility Definition,"An entity that owns, operates, leases, or controls electric vehicle
supply equipment is not defined as a public utility. (Reference [Alabama
Public Service
Commission](https://www.pscpublicaccess.alabama.gov/pscpublicaccess/page/psc-searches/portal.aspx)
Docket No. 32694)
",Laws and Regulations,,2018-06-22 00:00:00 UTC,,False,2018-08-06 19:09:33 UTC,ELEC|PHEV,STATION,,UTILITY
12205,AL,Plug-In Electric Vehicle (PEV) Fee,"Effective January 1, 2020, PEV owners must pay an annual fee in addition
to standard registration fees. All-electric vehicle owners must pay an
annual fee of \$200 and plug-in hybrid electric vehicle owners must pay
an annual fee of \$100. Beginning July 1, 2023 and every fourth year
thereafter, PEV fees will increase by \$3. A portion of fees contribute
to the Electric Transportation Infrastructure Grant Program, which
provides grants for electric vehicle supply equipment. (Reference [Code
of Alabama](http://alisondb.legislature.state.al.us/acas/ACASLogin.asp)
40-12-242)
",Laws and Regulations,,2019-03-12 00:00:00 UTC,,False,2019-05-01 16:40:48 UTC,ELEC|PHEV,IND,,FUEL
