year,make,model,trany,rangeCity,rangeHwy,highway08
2010,Acura,TSX,Manual 6-spd,0.0,0.0,28
2010,Acura,TSX,Automatic (S5),0.0,0.0,30
2010,Acura,TSX,Automatic (S5),0.0,0.0,27
2010,Acura,RL,Automatic (S5),0.0,0.0,22
2010,Acura,RDX 2WD,Automatic (S5),0.0,0.0,24
2010,Acura,RDX 4WD,Automatic (S5),0.0,0.0,22
2010,Acura,TL 2WD,Automatic (S5),0.0,0.0,26
2010,Acura,TL 4WD,Manual 6-spd,0.0,0.0,25
2010,Acura,TL 4WD,Automatic (S5),0.0,0.0,25
2010,Acura,MDX 4WD,Automatic (S6),0.0,0.0,21
2010,Acura,ZDX 4WD,Automatic (S6),0.0,0.0,23
2011,Acura,RDX 2WD,Automatic (S5),0.0,0.0,24
2011,Acura,RDX 4WD,Automatic (S5),0.0,0.0,22
2011,Acura,TL 2WD,Automatic (S5),0.0,0.0,26
2011,Acura,TL 4WD,Manual 6-spd,0.0,0.0,24
2011,Acura,TL 4WD,Automatic (S5),0.0,0.0,24
2011,Acura,MDX 4WD,Automatic (S6),0.0,0.0,21
2011,Acura,RL,Automatic (S6),0.0,0.0,24
2011,Acura,ZDX 4WD,Automatic (S6),0.0,0.0,23
2011,Acura,TSX,Manual 6-spd,0.0,0.0,29
2011,Acura,TSX,Automatic (S5),0.0,0.0,31
2011,Acura,TSX,Automatic (S5),0.0,0.0,28
2011,Acura,TSX Wagon,Automatic (S5),0.0,0.0,29
2012,Acura,TL 2WD,Automatic (S6),0.0,0.0,29
2012,Acura,TL 4WD,Automatic (S6),0.0,0.0,26
2012,Acura,TL 4WD,Manual 6-spd,0.0,0.0,24
2012,Acura,TSX,Manual 6-spd,0.0,0.0,29
2012,Acura,TSX,Automatic (S5),0.0,0.0,31
2012,Acura,TSX,Automatic (S5),0.0,0.0,28
2012,Acura,TSX Wagon,Automatic (S5),0.0,0.0,29
2012,Acura,RDX 2WD,Automatic (S5),0.0,0.0,24
2012,Acura,ZDX 4WD,Automatic (S6),0.0,0.0,23
2012,Acura,RDX 4WD,Automatic (S5),0.0,0.0,22
2012,Acura,MDX 4WD,Automatic (S6),0.0,0.0,21
2012,Acura,RL,Automatic (S6),0.0,0.0,24
2013,Acura,RDX 2WD,Automatic (S6),0.0,0.0,28
2013,Acura,RDX 4WD,Automatic (S6),0.0,0.0,27
2013,Acura,ILX,Automatic (S5),0.0,0.0,34
2013,Acura,ILX,Manual 6-spd,0.0,0.0,31
2013,Acura,ILX Hybrid,Automatic (AV-S7),0.0,0.0,38
2013,Acura,TSX,Manual 6-spd,0.0,0.0,29
2013,Acura,TSX,Automatic (S5),0.0,0.0,31
2013,Acura,TSX,Automatic (S5),0.0,0.0,28
2013,Acura,TL 2WD,Automatic (S6),0.0,0.0,29
2013,Acura,TL 4WD,Manual 6-spd,0.0,0.0,24
2013,Acura,TL 4WD,Automatic (S6),0.0,0.0,26
2013,Acura,TSX Wagon,Automatic (S5),0.0,0.0,29
2013,Acura,MDX 4WD,Automatic (S6),0.0,0.0,21
2013,Acura,ZDX 4WD,Automatic (S6),0.0,0.0,23
2014,Acura,RLX,Automatic (S6),0.0,0.0,30
2014,Acura,RDX 2WD,Automatic (S6),0.0,0.0,28
2014,Acura,RDX 4WD,Automatic (S6),0.0,0.0,27
2014,Acura,ILX,Automatic (S5),0.0,0.0,34
2014,Acura,ILX,Manual 6-spd,0.0,0.0,31
2014,Acura,MDX 2WD,Automatic (S6),0.0,0.0,28
2014,Acura,MDX 4WD,Automatic (S6),0.0,0.0,27
2014,Acura,ILX Hybrid,Automatic (AV-S7),0.0,0.0,38
2014,Acura,TSX,Automatic (S5),0.0,0.0,31
2014,Acura,TSX,Manual 6-spd,0.0,0.0,29
2014,Acura,TSX,Automatic (S5),0.0,0.0,28
2014,Acura,TL 2WD,Automatic (S6),0.0,0.0,29
2014,Acura,TL 4WD,Automatic (S6),0.0,0.0,26
2014,Acura,TL 4WD,Manual 6-spd,0.0,0.0,24
2014,Acura,TSX Wagon,Automatic (S5),0.0,0.0,29
2014,Acura,RLX Hybrid,Automatic (S7),0.0,0.0,31
2015,Acura,RDX 2WD,Automatic (S6),0.0,0.0,28
2015,Acura,RDX 4WD,Automatic (S6),0.0,0.0,27
2015,Acura,RLX,Automatic (S6),0.0,0.0,30
2015,Acura,MDX 2WD,Automatic (S6),0.0,0.0,28
2015,Acura,MDX 4WD,Automatic (S6),0.0,0.0,27
2015,Acura,ILX,Automatic (S5),0.0,0.0,34
2015,Acura,ILX,Manual 6-spd,0.0,0.0,31
2015,Acura,TLX,Automatic (AM8),0.0,0.0,35
2015,Acura,TLX,Automatic (S9),0.0,0.0,34
2015,Acura,TLX AWD,Automatic (S9),0.0,0.0,31
2016,Acura,ILX,Automatic (AM8),0.0,0.0,35
2016,Acura,RLX,Automatic (S6),0.0,0.0,30
2016,Acura,RLX Hybrid,Automatic (AM7),0.0,0.0,31
2016,Acura,MDX 2WD,Automatic (S9),0.0,0.0,27
2016,Acura,MDX 2WD,Automatic (S9),0.0,0.0,27
2016,Acura,MDX 4WD,Automatic (S9),0.0,0.0,26
