make,year,model,trany,rangeCity,rangeHwy,highway08
Acura,2010,TSX,Manual 6-spd,0.0,0.0,28
Acura,2010,TSX,Automatic (S5),0.0,0.0,30
Acura,2010,TSX,Automatic (S5),0.0,0.0,27
Acura,2010,RL,Automatic (S5),0.0,0.0,22
Acura,2010,RDX 2WD,Automatic (S5),0.0,0.0,24
Acura,2010,RDX 4WD,Automatic (S5),0.0,0.0,22
Acura,2010,TL 2WD,Automatic (S5),0.0,0.0,26
Acura,2010,TL 4WD,Manual 6-spd,0.0,0.0,25
Acura,2010,TL 4WD,Automatic (S5),0.0,0.0,25
Acura,2010,MDX 4WD,Automatic (S6),0.0,0.0,21
Acura,2010,ZDX 4WD,Automatic (S6),0.0,0.0,23
Acura,2011,RDX 2WD,Automatic (S5),0.0,0.0,24
Acura,2011,RDX 4WD,Automatic (S5),0.0,0.0,22
Acura,2011,TL 2WD,Automatic (S5),0.0,0.0,26
Acura,2011,TL 4WD,Manual 6-spd,0.0,0.0,24
Acura,2011,TL 4WD,Automatic (S5),0.0,0.0,24
Acura,2011,MDX 4WD,Automatic (S6),0.0,0.0,21
Acura,2011,RL,Automatic (S6),0.0,0.0,24
Acura,2011,ZDX 4WD,Automatic (S6),0.0,0.0,23
Acura,2011,TSX,Manual 6-spd,0.0,0.0,29
Acura,2011,TSX,Automatic (S5),0.0,0.0,31
Acura,2011,TSX,Automatic (S5),0.0,0.0,28
Acura,2011,TSX Wagon,Automatic (S5),0.0,0.0,29
Acura,2012,TL 2WD,Automatic (S6),0.0,0.0,29
Acura,2012,TL 4WD,Automatic (S6),0.0,0.0,26
Acura,2012,TL 4WD,Manual 6-spd,0.0,0.0,24
Acura,2012,TSX,Manual 6-spd,0.0,0.0,29
Acura,2012,TSX,Automatic (S5),0.0,0.0,31
Acura,2012,TSX,Automatic (S5),0.0,0.0,28
Acura,2012,TSX Wagon,Automatic (S5),0.0,0.0,29
Acura,2012,RDX 2WD,Automatic (S5),0.0,0.0,24
Acura,2012,ZDX 4WD,Automatic (S6),0.0,0.0,23
Acura,2012,RDX 4WD,Automatic (S5),0.0,0.0,22
Acura,2012,MDX 4WD,Automatic (S6),0.0,0.0,21
Acura,2012,RL,Automatic (S6),0.0,0.0,24
Acura,2013,RDX 2WD,Automatic (S6),0.0,0.0,28
Acura,2013,RDX 4WD,Automatic (S6),0.0,0.0,27
Acura,2013,ILX,Automatic (S5),0.0,0.0,34
Acura,2013,ILX,Manual 6-spd,0.0,0.0,31
Acura,2013,ILX Hybrid,Automatic (AV-S7),0.0,0.0,38
Acura,2013,TSX,Manual 6-spd,0.0,0.0,29
Acura,2013,TSX,Automatic (S5),0.0,0.0,31
Acura,2013,TSX,Automatic (S5),0.0,0.0,28
Acura,2013,TL 2WD,Automatic (S6),0.0,0.0,29
Acura,2013,TL 4WD,Manual 6-spd,0.0,0.0,24
Acura,2013,TL 4WD,Automatic (S6),0.0,0.0,26
Acura,2013,TSX Wagon,Automatic (S5),0.0,0.0,29
Acura,2013,MDX 4WD,Automatic (S6),0.0,0.0,21
Acura,2013,ZDX 4WD,Automatic (S6),0.0,0.0,23
Acura,2014,RLX,Automatic (S6),0.0,0.0,30
Acura,2014,RDX 2WD,Automatic (S6),0.0,0.0,28
Acura,2014,RDX 4WD,Automatic (S6),0.0,0.0,27
Acura,2014,ILX,Automatic (S5),0.0,0.0,34
Acura,2014,ILX,Manual 6-spd,0.0,0.0,31
Acura,2014,MDX 2WD,Automatic (S6),0.0,0.0,28
Acura,2014,MDX 4WD,Automatic (S6),0.0,0.0,27
Acura,2014,ILX Hybrid,Automatic (AV-S7),0.0,0.0,38
Acura,2014,TSX,Automatic (S5),0.0,0.0,31
Acura,2014,TSX,Manual 6-spd,0.0,0.0,29
Acura,2014,TSX,Automatic (S5),0.0,0.0,28
Acura,2014,TL 2WD,Automatic (S6),0.0,0.0,29
Acura,2014,TL 4WD,Automatic (S6),0.0,0.0,26
Acura,2014,TL 4WD,Manual 6-spd,0.0,0.0,24
Acura,2014,TSX Wagon,Automatic (S5),0.0,0.0,29
Acura,2014,RLX Hybrid,Automatic (S7),0.0,0.0,31
Acura,2015,RDX 2WD,Automatic (S6),0.0,0.0,28
Acura,2015,RDX 4WD,Automatic (S6),0.0,0.0,27
Acura,2015,RLX,Automatic (S6),0.0,0.0,30
Acura,2015,MDX 2WD,Automatic (S6),0.0,0.0,28
Acura,2015,MDX 4WD,Automatic (S6),0.0,0.0,27
Acura,2015,ILX,Automatic (S5),0.0,0.0,34
Acura,2015,ILX,Manual 6-spd,0.0,0.0,31
Acura,2015,TLX,Automatic (AM8),0.0,0.0,35
Acura,2015,TLX,Automatic (S9),0.0,0.0,34
Acura,2015,TLX AWD,Automatic (S9),0.0,0.0,31
Acura,2016,ILX,Automatic (AM8),0.0,0.0,35
Acura,2016,RLX,Automatic (S6),0.0,0.0,30
Acura,2016,RLX Hybrid,Automatic (AM7),0.0,0.0,31
Acura,2016,MDX 2WD,Automatic (S9),0.0,0.0,27
Acura,2016,MDX 2WD,Automatic (S9),0.0,0.0,27
Acura,2016,MDX 4WD,Automatic (S9),0.0,0.0,26
Acura,2016,MDX 4WD,Automatic (S9),0.0,0.0,26
Acura,2016,RDX 2WD,Automatic (S6),0.0,0.0,28
Acura,2016,RDX 4WD,Automatic (S6),0.0,0.0,27
Acura,2016,TLX 2WD,Automatic (AM-S8),0.0,0.0,35
Acura,2016,TLX 2WD,Automatic (S9),0.0,0.0,34
Acura,2016,TLX 4WD,Automatic (S9),0.0,0.0,31
Acura,2017,RDX FWD,Automatic (S6),0.0,0.0,28
Acura,2017,RDX AWD,Automatic (S6),0.0,0.0,27
Acura,2017,ILX,Automatic (AM-S8),0.0,0.0,35
Acura,2017,NSX Hybrid,Automatic (AM-S9),0.0,0.0,22
Acura,2017,MDX FWD,Automatic (S9),0.0,0.0,27
Acura,2017,MDX FWD,Automatic (S9),0.0,0.0,27
Acura,2017,MDX AWD,Automatic (S9),0.0,0.0,26
Acura,2017,MDX AWD,Automatic (S9),0.0,0.0,26
Acura,2017,TLX FWD,Automatic (AM-S8),0.0,0.0,35
Acura,2017,TLX FWD,Automatic (S9),0.0,0.0,34
Acura,2017,TLX AWD,Automatic (S9),0.0,0.0,31
Acura,2017,RLX,Automatic (S6),0.0,0.0,30
Acura,2017,RLX Hybrid,Automatic (AM-S7),0.0,0.0,30
Acura,2017,MDX Hybrid AWD,Automatic (AM-S7),0.0,0.0,27
Acura,2018,TLX FWD,Automatic (AM-S8),0.0,0.0,33
Acura,2018,TLX FWD,Automatic (S9),0.0,0.0,32
Acura,2018,TLX FWD A-SPEC,Automatic (S9),0.0,0.0,30
